icd10_category,category_name
L84,Corns and callosities
L85,Other epidermal thickening
L88,Pyoderma gangrenosum
L89,Pressure ulcer
L90,Atrophic disorders of skin
L91,Hypertrophic disorders of skin
L92,Granulomatous disorders of skin and subcutaneous tissue
L93,Lupus erythematosus
L94,Other localized connective tissue disorders
L95,"Vasculitis limited to skin, not elsewhere classified"
L97,"Non-pressure chronic ulcer of lower limb, not elsewhere classified"
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
M00,Pyogenic arthritis
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
M02,Postinfective and reactive arthropathies
M04,Autoinflammatory syndromes
M05,Rheumatoid arthritis with rheumatoid factor
M06,Other rheumatoid arthritis
M07,Enteropathic arthropathies
M08,Juvenile arthritis
M10,Gout
M11,Other crystal arthropathies
M12,Other and unspecified arthropathy
M13,Other arthritis
M14,Arthropathies in other diseases classified elsewhere
M15,Polyosteoarthritis
M16,Osteoarthritis of hip
M17,Osteoarthritis of knee
M18,Osteoarthritis of first carpometacarpal joint
M19,Other and unspecified osteoarthritis
M20,Acquired deformities of fingers and toes
M21,Other acquired deformities of limbs
M22,Disorder of patella
M23,Internal derangement of knee
M24,Other specific joint derangements
M25,"Other joint disorder, not elsewhere classified"
M26,Dentofacial anomalies [including malocclusion]
M27,Other diseases of jaws
M30,Polyarteritis nodosa and related conditions
M31,Other necrotizing vasculopathies
M32,Systemic lupus erythematosus (SLE)
M33,Dermatopolymyositis
M34,Systemic sclerosis [scleroderma]
M35,Other systemic involvement of connective tissue
M40,Kyphosis and lordosis
M41,Scoliosis
M42,Spinal osteochondrosis
M43,Other deforming dorsopathies
M45,Ankylosing spondylitis
M46,Other inflammatory spondylopathies
M47,Spondylosis
M48,Other spondylopathies
M49,Spondylopathies in diseases classified elsewhere
M50,Cervical disc disorders
M51,"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders"
M53,"Other and unspecified dorsopathies, not elsewhere classified"
M54,Dorsalgia
M60,Myositis
M61,Calcification and ossification of muscle
M62,Other disorders of muscle
M65,Synovitis and tenosynovitis
M66,Spontaneous rupture of synovium and tendon
M67,Other disorders of synovium and tendon
M70,"Soft tissue disorders related to use, overuse and pressure"
M71,Other bursopathies
M72,Fibroblastic disorders
M75,Shoulder lesions
M76,"Enthesopathies, lower limb, excluding foot"
M77,Other enthesopathies
M79,"Other and unspecified soft tissue disorders, not elsewhere classified"
M80,Osteoporosis with current pathological fracture
M81,Osteoporosis without current pathological fracture
M83,Adult osteomalacia
M84,Disorder of continuity of bone
M85,Other disorders of bone density and structure
M86,Osteomyelitis
M87,Osteonecrosis
M88,Osteitis deformans [Paget's disease of bone]
M89,Other disorders of bone
M90,Osteopathies in diseases classified elsewhere
M91,Juvenile osteochondrosis of hip and pelvis
M92,Other juvenile osteochondrosis
M93,Other osteochondropathies
M94,Other disorders of cartilage
M95,Other acquired deformities of musculoskeletal system and connective tissue
M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified"
M97,Periprosthetic fracture around internal prosthetic joint
M99,"Biomechanical lesions, not elsewhere classified"
N00,Acute nephritic syndrome
N02,Recurrent and persistent hematuria
N03,Chronic nephritic syndrome
N04,Nephrotic syndrome
N05,Unspecified nephritic syndrome
N06,Isolated proteinuria with specified morphological lesion
N08,Glomerular disorders in diseases classified elsewhere
N10,Acute pyelonephritis
N11,Chronic tubulo-interstitial nephritis
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
N13,Obstructive and reflux uropathy
N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
N15,Other renal tubulo-interstitial diseases
N17,Acute kidney failure
N18,Chronic kidney disease (CKD)
N19,Unspecified kidney failure
N20,Calculus of kidney and ureter
N21,Calculus of lower urinary tract
N23,Unspecified renal colic
N25,Disorders resulting from impaired renal tubular function
N26,Unspecified contracted kidney
N27,Small kidney of unknown cause
N28,"Other disorders of kidney and ureter, not elsewhere classified"
N29,Other disorders of kidney and ureter in diseases classified elsewhere
N30,Cystitis
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
N32,Other disorders of bladder
N33,Bladder disorders in diseases classified elsewhere
N34,Urethritis and urethral syndrome
N35,Urethral stricture
N36,Other disorders of urethra
N39,Other disorders of urinary system
N40,Benign prostatic hyperplasia
N41,Inflammatory diseases of prostate
N42,Other and unspecified disorders of prostate
N43,Hydrocele and spermatocele
N44,Noninflammatory disorders of testis
N45,Orchitis and epididymitis
N46,Male infertility
N47,Disorders of prepuce
N48,Other disorders of penis
N49,"Inflammatory disorders of male genital organs, not elsewhere classified"
N50,Other and unspecified disorders of male genital organs
N51,Disorders of male genital organs in diseases classified elsewhere
N52,Male erectile dysfunction
N53,Other male sexual dysfunction
N60,Benign mammary dysplasia
N61,Inflammatory disorders of breast
N62,Hypertrophy of breast
N63,Unspecified lump in breast
N64,Other disorders of breast
N65,Deformity and disproportion of reconstructed breast
N70,Salpingitis and oophoritis
N71,"Inflammatory disease of uterus, except cervix"
N72,Inflammatory disease of cervix uteri
N73,Other female pelvic inflammatory diseases
N75,Diseases of Bartholin's gland
N76,Other inflammation of vagina and vulva
N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
N80,Endometriosis
N81,Female genital prolapse
N82,Fistulae involving female genital tract
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
N84,Polyp of female genital tract
N85,"Other noninflammatory disorders of uterus, except cervix"
N86,Erosion and ectropion of cervix uteri
N87,Dysplasia of cervix uteri
N88,Other noninflammatory disorders of cervix uteri
N89,Other noninflammatory disorders of vagina
N90,Other noninflammatory disorders of vulva and perineum
N91,"Absent, scanty and rare menstruation"
N92,"Excessive, frequent and irregular menstruation"
N93,Other abnormal uterine and vaginal bleeding
N94,Pain and other conditions associated with female genital organs and menstrual cycle
N95,Menopausal and other perimenopausal disorders
N96,Recurrent pregnancy loss
N97,Female infertility
N98,Complications associated with artificial fertilization
N99,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
O00,Ectopic pregnancy
O02,Other abnormal products of conception
O03,Spontaneous abortion
O09,Supervision of high risk pregnancy
O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
O11,Pre-existing hypertension with pre-eclampsia
O12,Gestational [pregnancy-induced] edema and proteinuria without hypertension
O13,Gestational [pregnancy-induced] hypertension without significant proteinuria
O14,Pre-eclampsia
O15,Eclampsia
O16,Unspecified maternal hypertension
O20,Hemorrhage in early pregnancy
O21,Excessive vomiting in pregnancy
O22,Venous complications and hemorrhoids in pregnancy
O23,Infections of genitourinary tract in pregnancy
O24,"Diabetes mellitus in pregnancy, childbirth, and the puerperium"
O26,Maternal care for other conditions predominantly related to pregnancy
O28,Abnormal findings on antenatal screening of mother
O30,Multiple gestation
O32,Maternal care for malpresentation of fetus
O33,Maternal care for disproportion
O34,Maternal care for abnormality of pelvic organs
O35,Maternal care for known or suspected fetal abnormality and damage
O36,Maternal care for other fetal problems
O40,Polyhydramnios
O41,Other disorders of amniotic fluid and membranes
O42,Premature rupture of membranes
O43,Placental disorders
O44,Placenta previa
O45,Premature separation of placenta [abruptio placentae]
O46,"Antepartum hemorrhage, not elsewhere classified"
O47,False labor
O48,Late pregnancy
O60,Preterm labor
O61,Failed induction of labor
O62,Abnormalities of forces of labor
O63,Long labor
O64,Obstructed labor due to malposition and malpresentation of fetus
O66,Other obstructed labor
O67,"Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified"
O69,Labor and delivery complicated by umbilical cord complications
O70,Perineal laceration during delivery
O71,Other obstetric trauma
O72,Postpartum hemorrhage
O73,"Retained placenta and membranes, without hemorrhage"
O75,"Other complications of labor and delivery, not elsewhere classified"
O76,Abnormality in fetal heart rate and rhythm complicating labor and delivery
O77,Other fetal stress complicating labor and delivery
O80,Encounter for full-term uncomplicated delivery
O82,Encounter for cesarean delivery without indication
O85,Puerperal sepsis
O86,Other puerperal infections
O87,Venous complications and hemorrhoids in the puerperium
O88,Obstetric embolism
O89,Complications of anesthesia during the puerperium
O90,"Complications of the puerperium, not elsewhere classified"
O92,Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
P00,Newborn affected by maternal conditions that may be unrelated to present pregnancy
P01,Newborn affected by maternal complications of pregnancy
P02,"Newborn affected by complications of placenta, cord and membranes"
P03,Newborn affected by other complications of labor and delivery
P05,Disorders of newborn related to slow fetal growth and fetal malnutrition
P07,"Disorders of newborn related to short gestation and low birth weight, not elsewhere classified"
P08,Disorders of newborn related to long gestation and high birth weight
P09,Abnormal findings on neonatal screening
P10,Intracranial laceration and hemorrhage due to birth injury
P14,Birth injury to peripheral nervous system
P15,Other birth injuries
P19,Metabolic acidemia in newborn
P22,Respiratory distress of newborn
P24,Neonatal aspiration
P25,Interstitial emphysema and related conditions originating in the perinatal period
P26,Pulmonary hemorrhage originating in the perinatal period
P27,Chronic respiratory disease originating in the perinatal period
P28,Other respiratory conditions originating in the perinatal period
P29,Cardiovascular disorders originating in the perinatal period
P36,Bacterial sepsis of newborn
P38,Omphalitis of newborn
P39,Other infections specific to the perinatal period
P50,Newborn affected by intrauterine (fetal) blood loss
P52,Intracranial nontraumatic hemorrhage of newborn
P54,Other neonatal hemorrhages
P55,Hemolytic disease of newborn
P59,Neonatal jaundice from other and unspecified causes
P61,Other perinatal hematological disorders
P70,Transitory disorders of carbohydrate metabolism specific to newborn
P71,Transitory neonatal disorders of calcium and magnesium metabolism
P74,Other transitory neonatal electrolyte and metabolic disturbances
P78,Other perinatal digestive system disorders
P80,Hypothermia of newborn
P83,Other conditions of integument specific to newborn
P84,Other problems with newborn
P90,Convulsions of newborn
P91,Other disturbances of cerebral status of newborn
P92,Feeding problems of newborn
P93,Reactions and intoxications due to drugs administered to newborn
P94,Disorders of muscle tone of newborn
P96,Other conditions originating in the perinatal period
Q01,Encephalocele
Q02,Microcephaly
Q03,Congenital hydrocephalus
Q04,Other congenital malformations of brain
Q04.0,"Congenital malformation of brain, unspecified"
Q05,Spina bifida
Q06,Other congenital malformations of spinal cord
Q07,Other congenital malformations of nervous system
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
Q11,"Anophthalmos, microphthalmos and macrophthalmos"
Q12,Congenital lens malformations
Q13,Congenital malformations of anterior segment of eye
Q14,Congenital malformations of posterior segment of eye
Q15,Other congenital malformations of eye
Q16,Congenital malformations of ear causing impairment of hearing
Q17,Other congenital malformations of ear
Q18,Other congenital malformations of face and neck
Q20,Congenital malformations of cardiac chambers and connections
Q21,Congenital malformations of cardiac septa
Q22,Congenital malformations of pulmonary and tricuspid valves
Q23,Congenital malformations of aortic and mitral valves
Q24,Other congenital malformations of heart
Q25,Congenital malformations of great arteries
Q26,Congenital malformations of great veins
Q27,Other congenital malformations of peripheral vascular system
Q28,Other congenital malformations of circulatory system
Q30,Congenital malformations of nose
Q31,Congenital malformations of larynx
Q32,Congenital malformations of trachea and bronchus
Q33,Congenital malformations of lung
Q34,Other congenital malformations of respiratory system
Q35,Cleft palate
Q36,Cleft lip
Q38,"Other congenital malformations of tongue, mouth and pharynx"
Q39,Congenital malformations of esophagus
Q40,Other congenital malformations of upper alimentary tract
Q41,"Congenital absence, atresia and stenosis of small intestine"
Q43,Other congenital malformations of intestine
Q44,"Congenital malformations of gallbladder, bile ducts and liver"
Q45,Other congenital malformations of digestive system
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments"
Q51,Congenital malformations of uterus and cervix
Q52,Other congenital malformations of female genitalia
Q53,Undescended and ectopic testicle
Q54,Hypospadias
Q55,Other congenital malformations of male genital organs
Q56,Indeterminate sex and pseudohermaphroditism
Q60,Renal agenesis and other reduction defects of kidney
Q61,Cystic kidney disease
Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Q63,Other congenital malformations of kidney
Q64,Other congenital malformations of urinary system
Q65,Congenital deformities of hip
Q66,Congenital deformities of feet
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest"
Q68,Other congenital musculoskeletal deformities
Q74,Other congenital malformations of limb(s)
Q75,Other congenital malformations of skull and face bones
Q76,Congenital malformations of spine and bony thorax
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
Q78,Other osteochondrodysplasias
Q79,"Congenital malformations of musculoskeletal system, not elsewhere classified"
Q80,Congenital ichthyosis
Q82,Other congenital malformations of skin
Q83,Congenital malformations of breast
Q84,Other congenital malformations of integument
Q85,"Phakomatoses, not elsewhere classified"
Q87,Other specified congenital malformation syndromes affecting multiple systems
Q89,"Other congenital malformations, not elsewhere classified"
Q90,Down syndrome
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified"
Q96,Turner's syndrome
Q99,"Other chromosome abnormalities, not elsewhere classified"
R00,Abnormalities of heart beat
R01,Cardiac murmurs and other cardiac sounds
R03,"Abnormal blood-pressure reading, without diagnosis"
R04,Hemorrhage from respiratory passages
R05,Cough
R06,Abnormalities of breathing
R07,Pain in throat and chest
R09,Other symptoms and signs involving the circulatory and respiratory system
R10,Abdominal and pelvic pain
R11,Nausea and vomiting
R12,Heartburn
R13,Aphagia and dysphagia
R14,Flatulence and related conditions
R15,Fecal incontinence
R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
R17,Unspecified jaundice
R18,Ascites
R19,Other symptoms and signs involving the digestive system and abdomen
R20,Disturbances of skin sensation
R21,Rash and other nonspecific skin eruption
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
R23,Other skin changes
R25,Abnormal involuntary movements
R26,Abnormalities of gait and mobility
R27,Other lack of coordination
R29,Other symptoms and signs involving the nervous and musculoskeletal systems
R30,Pain associated with micturition
R31,Hematuria
R32,Unspecified urinary incontinence
R33,Retention of urine
R34,Anuria and oliguria
R35,Polyuria
R36,Urethral discharge
R37,"Sexual dysfunction, unspecified"
R39,Other and unspecified symptoms and signs involving the genitourinary system
R40,"Somnolence, stupor and coma"
R41,Other symptoms and signs involving cognitive functions and awareness
R42,Dizziness and giddiness
R43,Disturbances of smell and taste
R44,Other symptoms and signs involving general sensations and perceptions
R45,Symptoms and signs involving emotional state
R46,Symptoms and signs involving appearance and behavior
R47,"Speech disturbances, not elsewhere classified"
R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
R49,Voice and resonance disorders
R50,Fever of other and unknown origin
R51,Headache
R52,"Pain, unspecified"
R53,Malaise and fatigue
R54,Age-related physical debility
R55,Syncope and collapse
R56,"Convulsions, not elsewhere classified"
R57,"Shock, not elsewhere classified"
R58,"Hemorrhage, not elsewhere classified"
R59,Enlarged lymph nodes
R60,"Edema, not elsewhere classified"
R61,Generalized hyperhidrosis
R62,Lack of expected normal physiological development in childhood and adults
R63,Symptoms and signs concerning food and fluid intake
R64,Cachexia
R65,Symptoms and signs specifically associated with systemic inflammation and infection
R68,Other general symptoms and signs
R69,"Illness, unspecified"
R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
R71,Abnormality of red blood cells
R73,Elevated blood glucose level
R74,Abnormal serum enzyme levels
R75,Inconclusive laboratory evidence of human immunodeficiency virus [HIV]
R76,Other abnormal immunological findings in serum
R77,Other abnormalities of plasma proteins
R78,"Findings of drugs and other substances, not normally found in blood"
R79,Other abnormal findings of blood chemistry
R80,Proteinuria
R81,Glycosuria
R82,Other and unspecified abnormal findings in urine
R83,Abnormal findings in cerebrospinal fluid
R84,Abnormal findings in specimens from respiratory organs and thorax
R85,Abnormal findings in specimens from digestive organs and abdominal cavity
R86,Abnormal findings in specimens from male genital organs
R87,Abnormal findings in specimens from female genital organs
R88,Abnormal findings in other body fluids and substances
R89,"Abnormal findings in specimens from other organs, systems and tissues"
R90,Abnormal findings on diagnostic imaging of central nervous system
R91,Abnormal findings on diagnostic imaging of lung
R92,Abnormal and inconclusive findings on diagnostic imaging of breast
R93,Abnormal findings on diagnostic imaging of other body structures
R94,Abnormal results of function studies
R97,Abnormal tumor markers
R99,Ill-defined and unknown cause of mortality
S00,Superficial injury of head
S01,Open wound of head
S02,Fracture of skull and facial bones
S03,Dislocation and sprain of joints and ligaments of head
S04,Injury of cranial nerve
S05,Injury of eye and orbit
S06,Intracranial injury
S09,Other and unspecified injuries of head
S10,Superficial injury of neck
S11,Open wound of neck
S12,Fracture of cervical vertebra and other parts of neck
S13,Dislocation and sprain of joints and ligaments at neck level
S14,Injury of nerves and spinal cord at neck level
S15,Injury of blood vessels at neck level
S16,"Injury of muscle, fascia and tendon at neck level"
S19,Other specified and unspecified injuries of neck
S20,Superficial injury of thorax
S21,Open wound of thorax
S22,"Fracture of rib(s), sternum and thoracic spine"
S23,Dislocation and sprain of joints and ligaments of thorax
S24,Injury of nerves and spinal cord at thorax level
S25,Injury of blood vessels of thorax
S27,Injury of other and unspecified intrathoracic organs
S29,Other and unspecified injuries of thorax
S30,"Superficial injury of abdomen, lower back, pelvis and external genitals"
S31,"Open wound of abdomen, lower back, pelvis and external genitals"
S32,Fracture of lumbar spine and pelvis
S33,Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
S34,"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level"
S35,"Injury of blood vessels at abdomen, lower back and pelvis level"
S36,Injury of intra-abdominal organs
S37,Injury of urinary and pelvic organs
S39,"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals"
S40,Superficial injury of shoulder and upper arm
S41,Open wound of shoulder and upper arm
S42,Fracture of shoulder and upper arm
S43,Dislocation and sprain of joints and ligaments of shoulder girdle
S44,Injury of nerves at shoulder and upper arm level
S45,Injury of blood vessels at shoulder and upper arm level
S46,"Injury of muscle, fascia and tendon at shoulder and upper arm level"
S49,Other and unspecified injuries of shoulder and upper arm
S50,Superficial injury of elbow and forearm
S51,Open wound of elbow and forearm
S52,Fracture of forearm
S53,Dislocation and sprain of joints and ligaments of elbow
S54,Injury of nerves at forearm level
S56,"Injury of muscle, fascia and tendon at forearm level"
S59,Other and unspecified injuries of elbow and forearm
S60,"Superficial injury of wrist, hand and fingers"
S61,"Open wound of wrist, hand and fingers"
S62,Fracture at wrist and hand level
S63,Dislocation and sprain of joints and ligaments at wrist and hand level
S64,Injury of nerves at wrist and hand level
S65,Injury of blood vessels at wrist and hand level
S66,"Injury of muscle, fascia and tendon at wrist and hand level"
S67,"Crushing injury of wrist, hand and fingers"
S68,"Traumatic amputation of wrist, hand and fingers"
S69,"Other and unspecified injuries of wrist, hand and finger(s)"
S70,Superficial injury of hip and thigh
S71,Open wound of hip and thigh
S72,Fracture of femur
S73,Dislocation and sprain of joint and ligaments of hip
S74,Injury of nerves at hip and thigh level
S75,Injury of blood vessels at hip and thigh level
S76,"Injury of muscle, fascia and tendon at hip and thigh level"
S78,Traumatic amputation of hip and thigh
S79,Other and unspecified injuries of hip and thigh
S80,Superficial injury of knee and lower leg
S81,Open wound of knee and lower leg
S82,"Fracture of lower leg, including ankle"
S83,Dislocation and sprain of joints and ligaments of knee
S84,Injury of nerves at lower leg level
S86,"Injury of muscle, fascia and tendon at lower leg level"
S88,Traumatic amputation of lower leg
S89,Other and unspecified injuries of lower leg
S90,"Superficial injury of ankle, foot and toes"
S91,"Open wound of ankle, foot and toes"
S92,"Fracture of foot and toe, except ankle"
S93,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
S96,Injury of muscle and tendon at ankle and foot level
S97,Crushing injury of ankle and foot
S98,Traumatic amputation of ankle and foot
S99,Other and unspecified injuries of ankle and foot
T07,Unspecified multiple injuries
T14,Injury of unspecified body region
T15,Foreign body on external eye
T16,Foreign body in ear
T17,Foreign body in respiratory tract
T18,Foreign body in alimentary tract
T19,Foreign body in genitourinary tract
T20,"Burn and corrosion of head, face, and neck"
T21,Burn and corrosion of trunk
T22,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
T23,Burn and corrosion of wrist and hand
T24,"Burn and corrosion of lower limb, except ankle and foot"
T25,Burn and corrosion of ankle and foot
T26,Burn and corrosion confined to eye and adnexa
T28,Burn and corrosion of other internal organs
T30,"Burn and corrosion, body region unspecified"
T31,Burns classified according to extent of body surface involved
T32,Corrosions classified according to extent of body surface involved
T36,"Poisoning by, adverse effect of and underdosing of systemic antibiotics"
T37,"Poisoning by, adverse effect of and underdosing of other systemic anti-infectives and antiparasitics"
T38,"Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified"
T39,"Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics"
T40,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]"
T41,"Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases"
T42,"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs"
T43,"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified"
T44,"Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system"
T45,"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified"
T46,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
T47,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system"
T48,"Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system"
T49,"Poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs"
T50,"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances"
T51,Toxic effect of alcohol
T56,Toxic effect of metals
T57,Toxic effect of other inorganic substances
T59,"Toxic effect of other gases, fumes and vapors"
T60,Toxic effect of pesticides
T61,Toxic effect of noxious substances eaten as seafood
T62,Toxic effect of other noxious substances eaten as food
T63,Toxic effect of contact with venomous animals and plants
T65,Toxic effect of other and unspecified substances
T66,"Radiation sickness, unspecified"
T67,Effects of heat and light
T68,Hypothermia
T69,Other effects of reduced temperature
T70,Effects of air pressure and water pressure
T71,Asphyxiation
T73,Effects of other deprivation
T74,"Adult and child abuse, neglect and other maltreatment, confirmed"
T75,Other and unspecified effects of other external causes
T76,"Adult and child abuse, neglect and other maltreatment, suspected"
T78,"Adverse effects, not elsewhere classified"
T79,"Certain early complications of trauma, not elsewhere classified"
T80,"Complications following infusion, transfusion and therapeutic injection"
T81,"Complications of procedures, not elsewhere classified"
T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
T83,"Complications of genitourinary prosthetic devices, implants and grafts"
T84,"Complications of internal orthopedic prosthetic devices, implants and grafts"
T85,"Complications of other internal prosthetic devices, implants and grafts"
T86,Complications of transplanted organs and tissue
T87,Complications peculiar to reattachment and amputation
T88,"Other complications of surgical and medical care, not elsewhere classified"
U07,
U09,
V00,Pedestrian conveyance accident
V01,Pedestrian injured in collision with pedal cycle
V03,"Pedestrian injured in collision with car, pick-up truck or van"
V09,Pedestrian injured in other and unspecified transport accidents
V19,Pedal cycle rider injured in other and unspecified transport accidents
V29,Motorcycle rider injured in other and unspecified transport accidents
V43,"Car occupant injured in collision with car, pick-up truck or van"
V49,Car occupant injured in other and unspecified transport accidents
V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents
V70,Bus occupant injured in collision with pedestrian or animal
V81,Occupant of railway train or railway vehicle injured in transport accident
V87,Traffic accident of specified type but victim's mode of transport unknown
V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
V98,Other specified transport accidents
W01,"Fall on same level from slipping, tripping and stumbling"
W05,"Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter"
W06,Fall from bed
W07,Fall from chair
W08,Fall from other furniture
W09,Fall on and from playground equipment
W10,Fall on and from stairs and steps
W18,"Other slipping, tripping and stumbling and falls"
W19,Unspecified fall
W22,Striking against or struck by other objects
W26,Contact with other sharp objects
W29,Contact with other powered hand tools and household machinery
W34,Accidental discharge and malfunction from other and unspecified firearms and guns
W46,Contact with hypodermic needle
W50,"Accidental hit, strike, kick, twist, bite or scratch by another person"
W54,Contact with dog
W55,Contact with other mammals
W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
W86,Exposure to other specified electric current
W89,Exposure to man-made visible and ultraviolet light
X05,Exposure to ignition or melting of nightwear
X11,Contact with hot tap-water
X16,"Contact with hot heating appliances, radiators and pipes"
X19,Contact with other heat and hot substances
X32,Exposure to sunlight
X50,Overexertion and strenuous or repetitive movements
X58,Exposure to other specified factors
X83,Intentional self-harm by other specified means
Y00,Assault by blunt object
Y04,Assault by bodily force
Y07,"Perpetrator of assault, maltreatment and neglect"
Y09,Assault by unspecified means
Y62,Failure of sterile precautions during surgical and medical care
Y63,Failure in dosage during surgical and medical care
Y64,Contaminated medical or biological substances
Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y90,Evidence of alcohol involvement determined by blood alcohol level
Y92,Place of occurrence of the external cause
Y93,Activity codes
Y95,Nosocomial condition
Y99,External cause status
Z00,"Encounter for general examination without complaint, suspected or reported diagnosis"
Z01,"Encounter for other special examination without complaint, suspected or reported diagnosis"
Z02,Encounter for administrative examination
Z03,Encounter for medical observation for suspected diseases and conditions ruled out
Z04,Encounter for examination and observation for other reasons
Z05,Encounter for observation and evaluation of newborn for suspected diseases and conditions ruled out
Z08,Encounter for follow-up examination after completed treatment for malignant neoplasm
Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
Z11,Encounter for screening for infectious and parasitic diseases
Z12,Encounter for screening for malignant neoplasms
Z13,Encounter for screening for other diseases and disorders
Z14,Genetic carrier
Z15,Genetic susceptibility to disease
Z16,Resistance to antimicrobial drugs
Z17,Estrogen receptor status
Z18,Retained foreign body fragments
Z19,Hormone sensitivity malignancy status
Z20,Contact with and (suspected) exposure to communicable diseases
Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
Z22,Carrier of infectious disease
Z23,Encounter for immunization
Z28,Immunization not carried out and underimmunization status
Z29,Encounter for other prophylactic measures
Z30,Encounter for contraceptive management
Z31,Encounter for procreative management
Z32,Encounter for pregnancy test and childbirth and childcare instruction
Z33,Pregnant state
Z34,Encounter for supervision of normal pregnancy
Z36,Encounter for antenatal screening of mother
Z37,Outcome of delivery
Z38,Liveborn infants according to place of birth and type of delivery
Z39,Encounter for maternal postpartum care and examination
Z40,Encounter for prophylactic surgery
Z41,Encounter for procedures for purposes other than remedying health state
Z42,Encounter for plastic and reconstructive surgery following medical procedure or healed injury
Z43,Encounter for attention to artificial openings
Z44,Encounter for fitting and adjustment of external prosthetic device
Z45,Encounter for adjustment and management of implanted device
Z46,Encounter for fitting and adjustment of other devices
Z47,Orthopedic aftercare
Z48,Encounter for other postprocedural aftercare
Z49,Encounter for care involving renal dialysis
Z51,Encounter for other aftercare and medical care
Z52,Donors of organs and tissues
Z53,"Persons encountering health services for specific procedures and treatment, not carried out"
Z55,Problems related to education and literacy
Z56,Problems related to employment and unemployment
Z57,Occupational exposure to risk factors
Z59,Problems related to housing and economic circumstances
Z60,Problems related to social environment
Z62,Problems related to upbringing
Z63,"Other problems related to primary support group, including family circumstances"
Z64,Problems related to certain psychosocial circumstances
Z65,Problems related to other psychosocial circumstances
Z66,Do not resuscitate
Z67,Blood type
Z68,Body mass index [BMI]
Z70,"Counseling related to sexual attitude, behavior and orientation"
Z71,"Persons encountering health services for other counseling and medical advice, not elsewhere classified"
Z72,Problems related to lifestyle
Z73,Problems related to life management difficulty
Z74,Problems related to care provider dependency
